# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  1 07:37:32 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_massj,pl_msinij,st_mass
1,11 Com,b,Radial Velocity,1,326.03000000,1.290000,,19.40000,2.70
2,11 UMi,b,Radial Velocity,1,516.22000000,1.540000,,10.50000,1.80
3,14 And,b,Radial Velocity,1,185.84000000,0.830000,,4.80000,2.20
4,14 Her,b,Radial Velocity,1,1773.40000000,2.770000,,4.64000,0.90
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.681000,,1.68000,0.99
6,18 Del,b,Radial Velocity,1,993.30000000,2.600000,,10.30000,2.30
7,1RXS J160929.1-210524,b,Imaging,1,,330.000000,8.00000,,0.85
8,24 Sex,b,Radial Velocity,2,452.80000000,1.333000,,1.99000,1.54
9,24 Sex,c,Radial Velocity,2,883.00000000,2.080000,,0.86000,1.54
10,2MASS J01225093-2439505,b,Imaging,1,,52.000000,24.50000,,0.40
11,2MASS J02192210-3925225,b,Imaging,1,,156.000000,13.90000,,0.11
12,2MASS J04414489+2301513,b,Imaging,1,,15.000000,7.50000,,0.02
13,2MASS J12073346-3932539,b,Imaging,1,,46.000000,4.00000,,0.02
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,0.920000,1.90000,,0.48
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,,20.95000,,0.08
16,30 Ari B,b,Radial Velocity,1,335.10000000,0.995000,,9.88000,1.16
17,4 UMa,b,Radial Velocity,1,269.30000000,0.870000,,7.10000,1.23
18,42 Dra,b,Radial Velocity,1,479.10000000,1.190000,,3.88000,0.98
19,47 UMa,b,Radial Velocity,3,1078.00000000,2.100000,,2.53000,1.03
20,47 UMa,c,Radial Velocity,3,2391.00000000,3.600000,,0.54000,1.03
21,47 UMa,d,Radial Velocity,3,14002.00000000,11.600000,,1.64000,1.03
22,51 Eri,b,Imaging,1,,13.200000,2.00000,,1.75
23,51 Peg,b,Radial Velocity,1,4.23078500,0.052700,,0.47200,1.12
24,55 Cnc,b,Radial Velocity,5,14.65152000,0.115227,0.83060,,0.91
25,55 Cnc,c,Radial Velocity,5,44.41750000,0.241376,0.17140,,0.91
26,55 Cnc,d,Radial Velocity,5,4825.00000000,5.503000,3.87800,,0.91
27,55 Cnc,e,Radial Velocity,5,0.73655150,0.015691,0.02561,,0.91
28,55 Cnc,f,Radial Velocity,5,262.00000000,0.788000,0.14100,,0.91
29,6 Lyn,b,Radial Velocity,1,874.77400000,2.180000,,2.21000,1.70
30,61 Vir,b,Radial Velocity,3,4.21500000,0.050201,,0.01600,0.94
31,61 Vir,c,Radial Velocity,3,38.02100000,0.217500,,0.05700,0.94
32,61 Vir,d,Radial Velocity,3,123.01000000,0.476000,,0.07200,0.94
33,7 CMa,b,Radial Velocity,1,763.00000000,1.900000,,2.60000,1.52
34,70 Vir,b,Radial Velocity,1,116.69260000,0.481000,,7.40000,1.09
35,75 Cet,b,Radial Velocity,1,691.90000000,2.100000,,3.00000,2.49
36,81 Cet,b,Radial Velocity,1,952.70000000,2.500000,,5.30000,2.40
37,91 Aqr,b,Radial Velocity,1,181.40000000,0.700000,,3.20000,1.40
38,AB Pic,b,Imaging,1,,260.000000,13.50000,,
39,BD+14 4559,b,Radial Velocity,1,268.94000000,0.777000,,1.47000,0.86
40,BD+15 2940,b,Radial Velocity,1,137.48000000,0.539000,,1.11000,1.10
41,BD+20 1790,b,Radial Velocity,1,7.78287000,0.066000,,6.37000,0.63
42,BD+20 2457,b,Radial Velocity,2,379.63000000,1.450000,,21.42000,2.80
43,BD+20 2457,c,Radial Velocity,2,621.99000000,2.010000,,12.47000,2.80
44,BD+20 274,b,Radial Velocity,1,578.20000000,1.300000,,4.20000,0.80
45,BD+48 738,b,Radial Velocity,1,392.60000000,1.000000,,0.91000,0.74
46,BD+49 828,b,Radial Velocity,1,2590.00000000,4.200000,,1.60000,1.52
47,BD-06 1339,b,Radial Velocity,2,3.87280000,0.042800,,0.02700,0.70
48,BD-06 1339,c,Radial Velocity,2,125.94000000,0.435000,,0.17000,0.70
49,BD-08 2823,b,Radial Velocity,2,5.60000000,0.056000,,0.04500,0.74
50,BD-08 2823,c,Radial Velocity,2,237.60000000,0.680000,,0.33000,0.74
51,BD-10 3166,b,Radial Velocity,1,3.48777000,0.045200,,0.45800,1.01
52,BD-11 4672,b,Radial Velocity,1,1667.00000000,2.280000,,0.53000,0.57
53,BD-13 2130,b,Radial Velocity,1,714.30000000,2.100000,,10.60000,2.40
54,BD-17 63,b,Radial Velocity,1,655.60000000,1.340000,,5.10000,0.74
55,CFBDSIR J145829+101343,b,Imaging,1,10037.50000000,2.600000,10.50000,,0.02
56,CHXR 73,b,Imaging,1,,210.000000,12.56900,,0.35
57,CT Cha,b,Imaging,1,,440.000000,17.00000,,
58,CoRoT-1,b,Transit,1,1.50895570,,1.03000,,0.95
59,CoRoT-10,b,Transit,1,13.24060000,0.105500,2.75000,,0.89
60,CoRoT-11,b,Transit,1,2.99433000,0.043600,2.33000,,1.27
61,CoRoT-12,b,Transit,1,2.82804200,0.040160,0.91700,,1.08
62,CoRoT-13,b,Transit,1,4.03519000,0.051000,1.30800,,1.09
63,CoRoT-14,b,Transit,1,1.51214000,0.027000,7.60000,,1.13
64,CoRoT-16,b,Transit,1,5.35227000,0.061800,0.53500,,1.10
65,CoRoT-17,b,Transit,1,3.76810000,0.046100,2.43000,,1.04
66,CoRoT-18,b,Transit,1,1.90006930,0.029500,3.47000,,0.95
67,CoRoT-19,b,Transit,1,3.89713000,0.051800,1.11000,,1.21
68,CoRoT-2,b,Transit,1,1.74299350,0.027980,3.47000,,0.96
69,CoRoT-20,b,Transit,1,9.24285000,0.090200,4.24000,,1.14
70,CoRoT-22,b,Transit,1,9.75598000,0.092000,0.03800,,1.10
